"STATION"    ,"NAME"                   ,"DATE" ,"AWND"      ,"PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WSF2","WSF5"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-08",,,"53","62","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-09",,,"52","60","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-10",,,"51","56","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-11",,,"56","66","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-12",,,"57","70","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-13",,,"51","55","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-14",,,"46","52","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-15",,,"45","49","40",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-16",,,"45","50","41",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-17",,,"44","52","40",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-18",,,"46","54","39",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-19",,,"51","60","42",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-20",,,"50","53","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-21",,,"54","55","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-22",,,"48","54","42",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-23",,,"47","54","40",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-24",,,"45","51","40",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-25",,,"45","52","39",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-26",,,"49","54","42",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-27",,,"59","68","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-28",,,"65","75","56",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-29",,,"68","78","59",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-30",,,"68","80","60",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-31",,,"58","70","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-01",,,"54","66","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-02",,,"49","56","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-03",,,"50","62","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-04",,,"51","59","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-05",,,"52","60","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-06",,,"55","57","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-07",,,"53","56","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-08",,,"52","58","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-09",,,"60","72","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-10",,,"53","62","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-11",,,"49","58","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-12",,,"47","53","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-13",,,"51","61","42",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-14",,,"56","69","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-15",,,"49","57","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-16",,,"44","50","41",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-17",,,"47","59","39",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-18",,,"47","54","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-19",,,"48","53","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-20",,,"53","69","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-21",,,"57","75","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-22",,,"60","73","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-23",,,"59","74","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-24",,,"51","60","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-25",,,"50","61","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-26",,,"49","56","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-27",,,"52","61","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-28",,,"51","59","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-29",,,"50","56","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-30",,,"48","54","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-01",,,"50","59","43",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-02",,,"51","57","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-03",,,"49","59","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-04",,,"54","72","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-05",,,"51","58","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-06",,,"50","55","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-07",,,"54","64","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-08",,,"54","62","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-09",,,"52","56","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-10",,,"50","55","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-11",,,"60","70","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-12",,,"58","66","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-13",,,"52","58","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-14",,,"50","57","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-15",,,"52","60","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-16",,,"53","61","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-17",,,"51","54","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-18",,,"49","51","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-19",,,"49","52","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-20",,,"49","54","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-21",,,"50","57","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-22",,,"49","51","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-23",,,"50","53","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-24",,,"50","55","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-25",,,"51","56","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-26",,,"50","56","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-27",,,"60","70","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-28",,,"67","84","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-29",,,"59","71","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-30",,,"49","52","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-31",,,"48","53","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-01",,,"56","70","44",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-02",,,"72","87","56",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-03",,,"63","80","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-04",,,"52","58","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-05",,,"50","55","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-06",,,"50","53","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-07",,,"52","57","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-08",,,"53","61","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-09",,,"51","55","46",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-10",,,"51","57","45",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-11",,,"56","68","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-12",,,"63","84","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-13",,,"56","68","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-14",,,"53","63","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-15",,,"50","54","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-16",,,"52","58","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-17",,,"54","61","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-18",,,"55","66","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-19",,,"51","57","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-20",,,"51","56","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-21",,,"53","62","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-22",,,"64","86","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-23",,,"75","89","58",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-24",,,"57","64","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-25",,,"56","64","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-26",,,"55","64","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-27",,,"52","55","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-28",,,"53","58","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-29",,,"59","74","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-30",,,"71","85","56",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-01",,,"59","71","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-02",,,"56","63","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-03",,,"54","60","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-04",,,"54","61","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-05",,,"58","74","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-06",,,"66","79","57",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-07",,,"62","75","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-08",,,"58","65","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-09",,,"61","71","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-10",,,"59","72","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-11",,,"61","75","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-12",,,"62","78","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-13",,,"62","73","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-14",,,"57","67","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-15",,,"56","65","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-16",,,"57","68","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-17",,,"58","69","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-18",,,"61","76","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-19",,,"67","85","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-20",,,"65","70","58",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-21",,,"62","74","56",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-22",,,"60","69","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-23",,,"58","72","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-24",,,"60","69","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-25",,,"61","76","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-26",,,"54","61","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-27",,,"54","60","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-28",,,"53","63","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-29",,,"53","59","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-30",,,"54","61","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-31",,,"53","62","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-01",,,"53","59","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-02",,,"54","62","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-03",,,"64","74","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-04",,,"63","71","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-05",,,"59","70","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-06",,,"67","76","59",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-07",,,"54","62","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-08",,,"58","71","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-09",,,"68","86","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-10",,,"69","78","61",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-11",,,"64","72","55",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-12",,,"62","72","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-13",,,"55","61","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-14",,,"55","58","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-15",,,"58","64","55",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-16",,,"58","64","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-17",,,"65","78","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-18",,,"69","84","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-19",,,"56","70","47",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-20",,,"54","63","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-21",,,"55","59","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-22",,,"57","64","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-23",,,"57","65","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-24",,,"57","68","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-25",,,"57","72","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-26",,,"55","66","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-27",,,"54","61","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-28",,,"56","60","53",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-29",,,"60","66","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-30",,,"58","64","54",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-08-31",,,"56","67","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-01",,,"54","62","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-02",,,"58","74","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-03",,,"58","72","49",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-04",,,"59","75","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-05",,,"54","59","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-06",,,"55","65","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-07",,,"60","78","48",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-08",,,"60","68","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-09",,,"58","75","50",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-10",,,"59","76","52",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-11",,,"56","62","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-12",,,"55","62","51",,,,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-09-13",,,"56","62","52",,,,,,
